id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV
76070,Alvin Attles,Alvin,Attles,False,2483,,,,,,5545,2499,0.450676284941,2106,1330,0.631528964862,711,,17826,,2417,206.0,,,,,,382.0,154.0,0.403141361256,158.0,86.0,0.544303797468,62.0,,1504.0,,246.0,394.0,245.0,,,6328,2463,,
76071,Chet Aubuchon,Chet,Aubuchon,False,20,,,,,,91,23,0.252747252747,35,19,0.542857142857,30,,,,46,,,,,,,,,,,,,,,,,,,,,,65,,,
278,Stacey Augmon,Stacey,Augmon,False,1561,317,1912,79,12,0.151898734177,6480,3037,0.468672839506,2616,1904,0.727828746177,1001,472,21659,1304,1750,101.0,14.0,126.0,3.0,0.0,0.0,370.0,162.0,0.437837837837,177.0,138.0,0.779661016949,77.0,25.0,1470.0,53.0,141.0,462.0,179.0,56.0,73.0,7990,3216,974,1248
201571,D.J. Augustin,D.J.,Augustin,False,3761,32,1513,3311,1262,0.38115372999,7270,2994,0.411829436038,2317,2009,0.867069486404,976,334,22852,292,1350,93.0,2.0,37.0,118.0,46.0,0.389830508474,247.0,91.0,0.368421052631,95.0,83.0,0.873684210526,38.0,6.0,798.0,8.0,59.0,311.0,45.0,14.0,42.0,9259,1805,567,1428
200788,James Augustine,James,Augustine,False,4,2,16,0,0,0.0,37,19,0.513513513513,8,4,0.5,27,0,156,17,20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,42,33,5,6
1134,Ike Austin,Ike,Austin,False,538,226,1413,51,9,0.176470588235,2901,1295,0.446397793864,1024,686,0.669921875,432,166,8350,617,967,14.0,10.0,59.0,6.0,1.0,0.166666666666,104.0,45.0,0.432692307692,43.0,33.0,0.767441860465,19.0,4.0,399.0,23.0,49.0,124.0,82.0,10.0,30.0,3285,2030,214,701
76073,John Austin,John,Austin,False,4,,,,,,22,5,0.227272727272,16,13,0.8125,4,,61,,12,,,,,,,,,,,,,,,,,,,,,,23,7,,
76074,Ken Austin,Ken,Austin,False,1,1,1,0,0,0.0,13,6,0.461538461538,0,0,0.0,7,0,28,2,7,,,,,,,,,,,,,,,,,,,,,,12,3,1,3
138,Anthony Avent,Anthony,Avent,False,278,211,1024,2,0,0.0,2019,814,0.403169886082,481,330,0.68607068607,352,156,6729,560,824,1.0,1.0,7.0,1.0,0.0,0.0,20.0,9.0,0.45,12.0,10.0,0.833333333333,9.0,0.0,80.0,12.0,13.0,28.0,19.0,0.0,3.0,1958,1584,166,416
76076,William Averitt,William,Averitt,False,330,14,124,,,,1103,432,0.391659111514,310,221,0.712903225806,130,,2221,37,250,,,,,,,,,,,,,,,,,,,,,,1085,161,69,143
